ID:0
CONST:1
,:2
integer:3
real:4
string:5
(:6
):7
*:8
++:9
--:10
;:11
begin:12
clrscr:13
crt:14
end.:15
program:16
readln:17
uses:18
var:19
writeln:20
if:21
then:22
else:23
while:24
do:25
/:26
+:27
-:28
<>:29
>:30
':31
=:32
type:33
record:34
end:35
.:36
+=:37
-=:38
/=:39
%=:40
::41
:=:42
repeta:43
pana cand:44
