rows_A,cols_A,rows_B,cols_B,time_taken
2,3,3,2,1.380000
2,3,3,2,1.378000
2,3,3,2,1.134000
5,5,5,5,0.587000
1000,1000,1000,1000,1.519000
1000,1000,1000,1000,1.538000
1000,1000,1000,1000,1.510000
1000,1000,1000,1000,0.274000
1000,1000,1000,1000,1.801000
1000,1000,1000,1000,4.766000
100,100,100,100,1.533000
100,100,100,100,0.409000
